benchmark,escaped_pct,fr_pct
MPDD,9,0
MPDD,0,0
MPDD,9.1429,0
MPDD,7.2857,0
MPDD,10.2174,0
MPDD,5.8,0
MPDD,3.3333,0
MPDD,0,0
MPDD,9,0
MPDD,8.4286,0
MPDD,10.6522,0
MPDD,7,0
MPDD,9,0
MPDD,0,0
MPDD,9.1429,0
MPDD,7.8571,0
