direction,escaped_pp,false_reject_pp
dinomaly->patchcore,-8.3,95.5
dinomaly->patchcore,-11.6,95.7
dinomaly->patchcore,-8.9,97.4509803921569
dinomaly->patchcore,-9.5,94.8039215686274
dinomaly->patchcore,-7.9,98.6
patchcore->dinomaly,91.3,-3.2
patchcore->dinomaly,91,-2.83333333333333
patchcore->dinomaly,93.6,-2.4
patchcore->dinomaly,97.7,0
patchcore->dinomaly,92.8,-1.6
patchcore->dinomaly,91.1,-2.7
patchcore->dinomaly,91.9,-3
patchcore->dinomaly,90.7,-3.9
patchcore->dinomaly,94.9,-2.2
patchcore->dinomaly,95.6,-3.23529411764706
patchcore->dinomaly,98.1,-1.27450980392157
patchcore->dinomaly,94.6,-0.2
dinomaly->patchcore,-8.4,96.5
dinomaly->patchcore,-7.4,96.5
dinomaly->patchcore,-9.3,96.2
dinomaly->patchcore,-3.7,99.6
dinomaly->patchcore,-8.7,95.4
dinomaly->patchcore,-9.8,95.2
dinomaly->patchcore,-10.1,96.6
dinomaly->patchcore,-9,95.6
dinomaly->patchcore,-12.6,95.8
dinomaly->patchcore,-9.3,96.5686274509804
dinomaly->patchcore,-8.9,95.1960784313725
dinomaly->patchcore,-8.4,98
patchcore->dinomaly,91.6,-2.8
patchcore->dinomaly,92,-2.5
patchcore->dinomaly,93.3,-2.4
patchcore->dinomaly,96.9,0
patchcore->dinomaly,92.6,-1.2
patchcore->dinomaly,91.2,-2.6
patchcore->dinomaly,91.1,-3.5
patchcore->dinomaly,90.3,-4
patchcore->dinomaly,94.9,-2.3
patchcore->dinomaly,95.6,-3.52941176470588
patchcore->dinomaly,98.8,-0.882352941176471
patchcore->dinomaly,95.2,-0.2
dinomaly->patchcore,-9.4,96.4
dinomaly->patchcore,-8.9,96.3333333333333
dinomaly->patchcore,-9.8,96.4
dinomaly->patchcore,-3.9,98.8
dinomaly->patchcore,-8.3,94.2
dinomaly->patchcore,-10,95.2
dinomaly->patchcore,-9.6,95
dinomaly->patchcore,-9.2,95.5
dinomaly->patchcore,-12.8,95.7
dinomaly->patchcore,-9,96.3725490196078
dinomaly->patchcore,-9.8,95.2941176470588
dinomaly->patchcore,-8,98.6
patchcore->dinomaly,89.3478260869565,0
patchcore->dinomaly,95.4,0
patchcore->dinomaly,96,0
patchcore->dinomaly,0,0
patchcore->dinomaly,91,0
patchcore->dinomaly,91.8571428571429,0
dinomaly->patchcore,-11.304347826087,0
dinomaly->patchcore,-7.2,0
dinomaly->patchcore,-9,0
dinomaly->patchcore,0,0
dinomaly->patchcore,-8.14285714285714,0
dinomaly->patchcore,-7,0
patchcore->dinomaly,89.7826086956522,0
patchcore->dinomaly,94.2,0
patchcore->dinomaly,96.6666666666667,0
patchcore->dinomaly,0,0
patchcore->dinomaly,91.4285714285714,0
patchcore->dinomaly,87.2857142857143,0
dinomaly->patchcore,-10.6521739130435,0
dinomaly->patchcore,-7,0
dinomaly->patchcore,-9.33333333333333,0
dinomaly->patchcore,0,0
dinomaly->patchcore,-8.42857142857143,0
dinomaly->patchcore,-7.14285714285714,0
patchcore->dinomaly,89.7826086956522,0
patchcore->dinomaly,94.6,0
patchcore->dinomaly,97,0
patchcore->dinomaly,0,0
patchcore->dinomaly,91.4285714285714,0
patchcore->dinomaly,90.4285714285714,0
dinomaly->patchcore,-10.2173913043478,0
dinomaly->patchcore,-7.2,0
dinomaly->patchcore,-8.66666666666667,0
dinomaly->patchcore,0,0
dinomaly->patchcore,-8.57142857142857,0
dinomaly->patchcore,-7.42857142857143,0
patchcore->dinomaly,89.3478260869565,0
patchcore->dinomaly,94.2,0
patchcore->dinomaly,95.6666666666667,0
patchcore->dinomaly,0,0
patchcore->dinomaly,90.2857142857143,0
patchcore->dinomaly,91.5714285714286,0
dinomaly->patchcore,-10.4347826086957,0
dinomaly->patchcore,-7.4,0
dinomaly->patchcore,-9,0
dinomaly->patchcore,0,0
dinomaly->patchcore,-9.14285714285714,0
dinomaly->patchcore,-7.28571428571429,0
patchcore->dinomaly,89.7826086956522,0
patchcore->dinomaly,94.2,0
patchcore->dinomaly,96.6666666666667,0
patchcore->dinomaly,0,0
patchcore->dinomaly,91,0
patchcore->dinomaly,86.1428571428571,0
dinomaly->patchcore,-10.6521739130435,0
dinomaly->patchcore,-7,0
dinomaly->patchcore,-9,0
dinomaly->patchcore,0,0
dinomaly->patchcore,-9.14285714285714,0
dinomaly->patchcore,-7.85714285714286,0
